result,elapsed_ns
SUCCESS,10746700
SUCCESS,158300
SUCCESS,65100
SUCCESS,37500
SUCCESS,43099
SUCCESS,49601
SUCCESS,46800
SUCCESS,37700
SUCCESS,35401
SUCCESS,38600
SUCCESS,38399
SUCCESS,82800
SUCCESS,76900
SUCCESS,74300
SUCCESS,63100
SUCCESS,37201
SUCCESS,35800
SUCCESS,57300
SUCCESS,41700
SUCCESS,36100
SUCCESS,52600
SUCCESS,34700
SUCCESS,34099
SUCCESS,33500
SUCCESS,44300
SUCCESS,39500
SUCCESS,34100
SUCCESS,33999
SUCCESS,34900
SUCCESS,42600
SUCCESS,34200
SUCCESS,36800
SUCCESS,33599
SUCCESS,35399
SUCCESS,33700
SUCCESS,47199
SUCCESS,34400
SUCCESS,33500
SUCCESS,33100
SUCCESS,35500
SUCCESS,33000
SUCCESS,33100
SUCCESS,32900
SUCCESS,59000
SUCCESS,40299
SUCCESS,35200
SUCCESS,34900
SUCCESS,40200
SUCCESS,37900
SUCCESS,35499
SUCCESS,37899
SUCCESS,33401
SUCCESS,60000
SUCCESS,39300
SUCCESS,40100
SUCCESS,36401
SUCCESS,34400
SUCCESS,37500
SUCCESS,33500
SUCCESS,34499
SUCCESS,34501
SUCCESS,34799
SUCCESS,33200
SUCCESS,36600
SUCCESS,43500
SUCCESS,53001
SUCCESS,58400
SUCCESS,41000
SUCCESS,35300
SUCCESS,33500
SUCCESS,36001
SUCCESS,32700
SUCCESS,33000
SUCCESS,42801
SUCCESS,34400
SUCCESS,32799
SUCCESS,32401
SUCCESS,55800
SUCCESS,39301
SUCCESS,43000
SUCCESS,34500
SUCCESS,43100
SUCCESS,33300
SUCCESS,38000
SUCCESS,32300
SUCCESS,31899
SUCCESS,32301
SUCCESS,31500
SUCCESS,31900
SUCCESS,31600
SUCCESS,32100
SUCCESS,32000
SUCCESS,32100
SUCCESS,32401
SUCCESS,34999
SUCCESS,45801
SUCCESS,37400
SUCCESS,34400
SUCCESS,31900
SUCCESS,33900
SUCCESS,32000
SUCCESS,53300
SUCCESS,32901
SUCCESS,34800
SUCCESS,32700
SUCCESS,32200
SUCCESS,40300
SUCCESS,35600
SUCCESS,37099
SUCCESS,33200
SUCCESS,42200
SUCCESS,33000
SUCCESS,36300
SUCCESS,33500
SUCCESS,57600
SUCCESS,62100
SUCCESS,40200
SUCCESS,37099
SUCCESS,32900
SUCCESS,39200
SUCCESS,48501
SUCCESS,37201
SUCCESS,33200
SUCCESS,34499
SUCCESS,56501
SUCCESS,39200
SUCCESS,40799
SUCCESS,41899
SUCCESS,32799
SUCCESS,31400
SUCCESS,31700
SUCCESS,31800
SUCCESS,31601
SUCCESS,31101
SUCCESS,31599
SUCCESS,47500
SUCCESS,31801
SUCCESS,73400
SUCCESS,39300
SUCCESS,32500
SUCCESS,33200
SUCCESS,35900
SUCCESS,35299
SUCCESS,30201
SUCCESS,30500
SUCCESS,30000
SUCCESS,30300
SUCCESS,30199
SUCCESS,30300
SUCCESS,33000
SUCCESS,30000
SUCCESS,29801
SUCCESS,30000
SUCCESS,57400
SUCCESS,62300
SUCCESS,71001
SUCCESS,59700
SUCCESS,38099
SUCCESS,37401
SUCCESS,32000
SUCCESS,42000
SUCCESS,31401
SUCCESS,30699
SUCCESS,53899
SUCCESS,37400
SUCCESS,32400
SUCCESS,31300
SUCCESS,67699
SUCCESS,46000
SUCCESS,32401
SUCCESS,30600
SUCCESS,55400
SUCCESS,53299
SUCCESS,40600
SUCCESS,44400
SUCCESS,33200
SUCCESS,38700
SUCCESS,62199
SUCCESS,56600
SUCCESS,33200
SUCCESS,36500
SUCCESS,30900
SUCCESS,30100
SUCCESS,29901
SUCCESS,29500
SUCCESS,29600
SUCCESS,35700
SUCCESS,35000
SUCCESS,31300
SUCCESS,35100
SUCCESS,34700
SUCCESS,70301
SUCCESS,35201
SUCCESS,30900
SUCCESS,29999
SUCCESS,37500
SUCCESS,66700
SUCCESS,34300
SUCCESS,38400
SUCCESS,30400
SUCCESS,29400
SUCCESS,29101
SUCCESS,28799
SUCCESS,29301
SUCCESS,37800
SUCCESS,38300
SUCCESS,28800
SUCCESS,28200
SUCCESS,28300
SUCCESS,32700
SUCCESS,28500
SUCCESS,28101
SUCCESS,27900
SUCCESS,28300
SUCCESS,28200
SUCCESS,27700
SUCCESS,27500
SUCCESS,27900
SUCCESS,32900
SUCCESS,28200
SUCCESS,27600
SUCCESS,47701
SUCCESS,39700
SUCCESS,40901
SUCCESS,33399
SUCCESS,66200
SUCCESS,34501
SUCCESS,49999
SUCCESS,30401
SUCCESS,28801
SUCCESS,28400
SUCCESS,29501
SUCCESS,32000
SUCCESS,27901
SUCCESS,27800
SUCCESS,28100
SUCCESS,28800
SUCCESS,27700
SUCCESS,27700
SUCCESS,38801
SUCCESS,27600
SUCCESS,28101
SUCCESS,27900
SUCCESS,36100
SUCCESS,36400
SUCCESS,38499
SUCCESS,29000
SUCCESS,29399
SUCCESS,31300
SUCCESS,29801
SUCCESS,35400
SUCCESS,45800
