result,elapsed_ns
SUCCESS,1991499
SUCCESS,77400
SUCCESS,30600
SUCCESS,23000
SUCCESS,22299
SUCCESS,20300
SUCCESS,37500
SUCCESS,20701
SUCCESS,20201
SUCCESS,20600
SUCCESS,20300
SUCCESS,19800
SUCCESS,20500
SUCCESS,19800
SUCCESS,19900
SUCCESS,20200
SUCCESS,19799
SUCCESS,23400
SUCCESS,38800
SUCCESS,19500
SUCCESS,19400
SUCCESS,19400
SUCCESS,18899
SUCCESS,19100
SUCCESS,18700
SUCCESS,18300
SUCCESS,18799
SUCCESS,19399
SUCCESS,18801
SUCCESS,18699
SUCCESS,19000
SUCCESS,19101
SUCCESS,18899
SUCCESS,19600
SUCCESS,20701
SUCCESS,19400
SUCCESS,20100
SUCCESS,19700
SUCCESS,18900
SUCCESS,19000
SUCCESS,18900
SUCCESS,22000
SUCCESS,19100
SUCCESS,19299
SUCCESS,19201
SUCCESS,19100
SUCCESS,18400
SUCCESS,19199
SUCCESS,18500
SUCCESS,18599
SUCCESS,19100
SUCCESS,19600
SUCCESS,18900
SUCCESS,19100
SUCCESS,19300
SUCCESS,18699
SUCCESS,18900
SUCCESS,19400
SUCCESS,18900
SUCCESS,18900
SUCCESS,19100
SUCCESS,19100
SUCCESS,18600
SUCCESS,18901
SUCCESS,19300
SUCCESS,19600
SUCCESS,19000
SUCCESS,19900
SUCCESS,18600
SUCCESS,18500
SUCCESS,19500
SUCCESS,19401
SUCCESS,18799
SUCCESS,18999
SUCCESS,19100
SUCCESS,20400
SUCCESS,19299
SUCCESS,18701
SUCCESS,18699
SUCCESS,29900
SUCCESS,18800
SUCCESS,18900
SUCCESS,19400
SUCCESS,21500
SUCCESS,19100
SUCCESS,27201
SUCCESS,19700
SUCCESS,18700
SUCCESS,19001
SUCCESS,18501
SUCCESS,29901
SUCCESS,19500
SUCCESS,18900
SUCCESS,18800
SUCCESS,26400
SUCCESS,23600
SUCCESS,19000
SUCCESS,19100
SUCCESS,19400
SUCCESS,19001
SUCCESS,19901
SUCCESS,18600
SUCCESS,18699
SUCCESS,21199
SUCCESS,18999
SUCCESS,18201
SUCCESS,18200
SUCCESS,19100
SUCCESS,18501
SUCCESS,18800
SUCCESS,18700
SUCCESS,18899
SUCCESS,21400
SUCCESS,19401
SUCCESS,21600
SUCCESS,18700
SUCCESS,19401
SUCCESS,18900
SUCCESS,18899
SUCCESS,19501
SUCCESS,19300
SUCCESS,18700
SUCCESS,18701
SUCCESS,19200
SUCCESS,19000
SUCCESS,19100
SUCCESS,39000
SUCCESS,21099
SUCCESS,18700
SUCCESS,19000
SUCCESS,18500
SUCCESS,18801
SUCCESS,19700
SUCCESS,19199
SUCCESS,18800
SUCCESS,19901
SUCCESS,74500
SUCCESS,59299
SUCCESS,60501
SUCCESS,23000
SUCCESS,19501
SUCCESS,19201
SUCCESS,18999
SUCCESS,19000
SUCCESS,19200
SUCCESS,19700
SUCCESS,25999
SUCCESS,32900
SUCCESS,25001
SUCCESS,21399
SUCCESS,21199
SUCCESS,20901
SUCCESS,22700
SUCCESS,22400
SUCCESS,21800
SUCCESS,23099
SUCCESS,20601
SUCCESS,18799
SUCCESS,24600
SUCCESS,20100
SUCCESS,41100
SUCCESS,30000
SUCCESS,24799
SUCCESS,24700
SUCCESS,26300
SUCCESS,20200
SUCCESS,19700
SUCCESS,19100
SUCCESS,19600
SUCCESS,19200
SUCCESS,18900
SUCCESS,19100
SUCCESS,19400
SUCCESS,19200
SUCCESS,22500
SUCCESS,33000
SUCCESS,40500
SUCCESS,23700
SUCCESS,119700
SUCCESS,113000
SUCCESS,27601
SUCCESS,22500
SUCCESS,21900
SUCCESS,21000
SUCCESS,20601
SUCCESS,22100
SUCCESS,20699
SUCCESS,21101
SUCCESS,20500
SUCCESS,20500
SUCCESS,20900
SUCCESS,22099
SUCCESS,19100
SUCCESS,18800
SUCCESS,19700
SUCCESS,19199
SUCCESS,18800
SUCCESS,19100
SUCCESS,19300
SUCCESS,18800
SUCCESS,28599
SUCCESS,33600
SUCCESS,19800
SUCCESS,132200
SUCCESS,28100
SUCCESS,43900
SUCCESS,19100
SUCCESS,18801
SUCCESS,19200
SUCCESS,22100
SUCCESS,18600
SUCCESS,19100
SUCCESS,18799
SUCCESS,26900
SUCCESS,24400
SUCCESS,19900
SUCCESS,18600
SUCCESS,20901
SUCCESS,19499
SUCCESS,19400
SUCCESS,19299
SUCCESS,19199
SUCCESS,18801
SUCCESS,19000
SUCCESS,19800
SUCCESS,18799
SUCCESS,18701
SUCCESS,19300
SUCCESS,19399
SUCCESS,19001
SUCCESS,23100
SUCCESS,23400
SUCCESS,18700
SUCCESS,19000
SUCCESS,19299
SUCCESS,19100
SUCCESS,18100
SUCCESS,19300
SUCCESS,18901
SUCCESS,18600
SUCCESS,19000
SUCCESS,19200
SUCCESS,18700
SUCCESS,19200
SUCCESS,19600
SUCCESS,19400
SUCCESS,19600
SUCCESS,19400
SUCCESS,18699
SUCCESS,18400
SUCCESS,19599
SUCCESS,19001
SUCCESS,19299
SUCCESS,24100
SUCCESS,19501
SUCCESS,55799
SUCCESS,31600
SUCCESS,39200
SUCCESS,32201
SUCCESS,19000
SUCCESS,15300
SUCCESS,31200
SUCCESS,43500
SUCCESS,107399
SUCCESS,35100
SUCCESS,41900
SUCCESS,21400
SUCCESS,20400
SUCCESS,20401
SUCCESS,20300
SUCCESS,19301
SUCCESS,20500
SUCCESS,20201
SUCCESS,20100
SUCCESS,19900
SUCCESS,20601
SUCCESS,20699
SUCCESS,19500
SUCCESS,19499
SUCCESS,19000
SUCCESS,19000
SUCCESS,19401
SUCCESS,19499
SUCCESS,19500
SUCCESS,19600
SUCCESS,19400
SUCCESS,19399
SUCCESS,19100
SUCCESS,19200
SUCCESS,19500
SUCCESS,19200
SUCCESS,19400
SUCCESS,19400
SUCCESS,18900
SUCCESS,20000
SUCCESS,19099
SUCCESS,19100
SUCCESS,19100
SUCCESS,23200
SUCCESS,18599
SUCCESS,18499
SUCCESS,18999
SUCCESS,19200
SUCCESS,18900
SUCCESS,19199
SUCCESS,19400
SUCCESS,18901
SUCCESS,19801
SUCCESS,19900
SUCCESS,19001
SUCCESS,19200
SUCCESS,18999
SUCCESS,19200
